,#genre#

📺央视频道,#genre#
江苏卫视,http://39.134.67.155/PLTV/88888888/224/3221225503/1.m3u8
江苏卫视,http://39.134.66.108/PLTV/88888888/224/3221225503/1.m3u8
江苏卫视,http://39.134.65.196/PLTV/88888888/224/3221225503/1.m3u8
江苏卫视,http://139.196.151.191/rtp/239.45.3.177:5140
江西卫视,http://39.134.65.133/PLTV/88888888/224/3221225935/1.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8
江西卫视,http://39.134.67.155/PLTV/88888888/224/3221225935/1.m3u8
江西卫视,http://39.134.65.196/PLTV/88888888/224/3221225935/1.m3u8
江西卫视,http://139.196.151.191/rtp/239.45.1.122:5140
辽宁卫视,http://39.134.67.179/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.134.65.175/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.135.133.173/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.135.133.172/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.134.65.133/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://39.134.65.196/PLTV/88888888/224/3221226089/1.m3u8
辽宁卫视,http://139.196.151.191/rtp/239.45.1.123:5140
内蒙古卫视,http://39.135.133.173/PLTV/88888888/224/3221226017/1.m3u8
内蒙古卫视,http://39.134.67.108/PLTV/88888888/224/3221226017/1.m3u8
内蒙古卫视,http://39.135.133.172/PLTV/88888888/224/3221226017/1.m3u8
内蒙古卫视,http://39.134.67.155/PLTV/88888888/224/3221226017/1.m3u8
内蒙古卫视,http://139.196.151.191/rtp/239.45.1.238:5140
宁夏卫视,http://39.134.67.155/PLTV/88888888/224/3221226028/1.m3u8
宁夏卫视,http://39.134.67.108/PLTV/88888888/224/3221226028/1.m3u8
宁夏卫视,http://139.196.151.191/rtp/239.45.1.213:5140
青海卫视,http://39.134.65.133/PLTV/88888888/224/3221225948/1.m3u8
青海卫视,http://39.134.67.155/PLTV/88888888/224/3221225948/1.m3u8
青海卫视,http://39.134.67.108/PLTV/88888888/224/3221225948/1.m3u8
青海卫视,http://139.196.151.191/rtp/239.45.1.230:5140
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8
山东卫视,http://39.134.67.155/PLTV/88888888/224/3221225952/1.m3u8
山东卫视,http://139.196.151.191/rtp/239.45.3.238:5140
山西卫视,http://39.134.67.155/PLTV/88888888/224/3221226009/1.m3u8
山西卫视,http://39.134.65.196/PLTV/88888888/224/3221226009/1.m3u8
山西卫视,http://39.134.67.108/PLTV/88888888/224/3221226009/1.m3u8
山西卫视,http://139.196.151.191/rtp/239.45.1.229:5140
陕西卫视,http://39.134.65.175/PLTV/88888888/224/3221225989/1.m3u8
陕西卫视,http://39.135.133.173/PLTV/88888888/224/3221225989/1.m3u8
陕西卫视,http://39.135.133.172/PLTV/88888888/224/3221225989/1.m3u8
陕西卫视,http://39.134.67.108/PLTV/88888888/224/3221225989/1.m3u8
陕西卫视,http://39.134.67.155/PLTV/88888888/224/3221225989/1.m3u8
陕西卫视,http://139.196.151.191/rtp/239.45.1.232:5140
四川卫视,http://39.134.65.175/PLTV/88888888/224/3221225970/1.m3u8
四川卫视,http://39.135.133.173/PLTV/88888888/224/3221225970/1.m3u8
四川卫视,http://39.135.133.172/PLTV/88888888/224/3221225970/1.m3u8
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8
四川卫视,http://139.196.151.191/rtp/239.45.1.83:5140
深圳卫视,http://39.134.67.179/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.67.155/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.65.196/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.66.108/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.65.133/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://139.196.151.191/rtp/239.45.3.231:5140
三沙卫视,http://139.196.151.191/rtp/239.45.1.82:5140
天津卫视,http://39.134.67.179/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://39.134.65.175/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://39.135.133.172/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://39.135.133.173/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://39.134.67.155/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8
天津卫视,http://139.196.151.191/rtp/239.45.1.124:5140
西藏卫视,http://39.134.67.108/PLTV/88888888/224/3221225951/1.m3u8
西藏卫视,http://39.134.67.155/PLTV/88888888/224/3221225951/1.m3u8
西藏卫视,http://139.196.151.191/rtp/239.45.1.231:5140
新疆卫视,http://39.134.67.108/PLTV/88888888/224/3221225999/1.m3u8
新疆卫视,http://39.134.67.155/PLTV/88888888/224/3221225999/1.m3u8
新疆卫视,http://139.196.151.191/rtp/239.45.1.116:5140
云南卫视,http://39.134.65.175/PLTV/88888888/224/3221225957/1.m3u8
云南卫视,http://39.134.66.108/PLTV/88888888/224/3221225957/1.m3u8
云南卫视,http://39.134.67.108/PLTV/88888888/224/3221225957/1.m3u8
云南卫视,http://39.134.67.155/PLTV/88888888/224/3221225957/1.m3u8
云南卫视,http://139.196.151.191/rtp/239.45.0.4:5140

☘️广东频道,#genre#
广东卫视,http://39.134.65.175/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://39.135.133.172/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://39.135.133.173/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8
广东卫视,http://139.196.151.191/rtp/239.45.3.230:5140
深圳卫视,http://39.134.67.179/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.67.155/PLTV/88888888/224/3221225668/1.m3u8
深圳卫视,http://39.134.65.196/PLTV/88888888/224/3221225668/1.m3u8
